label,request_index,item_id,status,elapsed_ms
unsandboxed_0.25,5,Q_005,success,5799.0
unsandboxed_0.25,6,Q_006,success,2299.1
unsandboxed_0.25,7,Q_007,success,4595.0
unsandboxed_0.25,8,Q_008,success,5200.6
unsandboxed_0.25,9,Q_009,success,5099.0
unsandboxed_0.25,10,Q_010,success,6100.0
unsandboxed_0.25,11,Q_011,success,6399.0
unsandboxed_0.25,12,Q_012,success,5599.6
unsandboxed_0.25,13,Q_013,success,2898.0
unsandboxed_0.25,14,Q_014,success,3599.0
unsandboxed_0.25,15,Q_015,success,4701.1
unsandboxed_0.25,16,Q_016,success,1199.2
unsandboxed_0.25,17,Q_017,success,7000.3
unsandboxed_0.25,18,Q_018,success,4697.7
unsandboxed_0.25,19,Q_019,success,4300.7
unsandboxed_0.25,20,Q_020,success,6699.9
sandboxed_0.5,1,Q_001,success,3997.6
sandboxed_0.5,2,Q_002,success,2098.3
sandboxed_0.5,3,Q_003,success,2600.3
sandboxed_0.5,4,Q_004,success,3798.9
sandboxed_0.5,5,Q_005,success,900.9
sandboxed_0.5,6,Q_006,success,2500.3
sandboxed_0.5,7,Q_007,success,2400.9
sandboxed_0.5,8,Q_008,success,2798.4
sandboxed_0.5,9,Q_009,success,4000.6
sandboxed_0.5,10,Q_010,success,3197.4
sandboxed_0.5,11,Q_011,success,5499.5
sandboxed_0.5,12,Q_012,success,3900.7
sandboxed_0.5,13,Q_013,success,3798.8
sandboxed_0.5,14,Q_014,success,2003.7
sandboxed_0.5,15,Q_015,success,3295.9
sandboxed_0.5,16,Q_016,success,3999.6
sandboxed_0.5,17,Q_017,success,2600.5
sandboxed_0.5,18,Q_018,success,3398.5
sandboxed_0.5,19,Q_019,success,2599.7
sandboxed_0.5,20,Q_020,success,3099.6
unsandboxed_0.5,1,Q_001,success,900.0
unsandboxed_0.5,2,Q_002,success,800.4
unsandboxed_0.5,3,Q_003,success,898.9
unsandboxed_0.5,4,Q_004,success,1099.6
unsandboxed_0.5,5,Q_005,success,700.6
unsandboxed_0.5,6,Q_006,success,1098.0
unsandboxed_0.5,7,Q_007,success,500.9
unsandboxed_0.5,8,Q_008,success,699.6
unsandboxed_0.5,9,Q_009,success,599.5
unsandboxed_0.5,10,Q_010,success,800.9
unsandboxed_0.5,11,Q_011,success,1198.7
unsandboxed_0.5,12,Q_012,success,899.5
unsandboxed_0.5,13,Q_013,success,500.6
unsandboxed_0.5,14,Q_014,success,699.6
unsandboxed_0.5,15,Q_015,success,399.5
unsandboxed_0.5,16,Q_016,success,598.1
unsandboxed_0.5,17,Q_017,success,601.5
unsandboxed_0.5,18,Q_018,success,498.4
unsandboxed_0.5,19,Q_019,success,900.0
unsandboxed_0.5,20,Q_020,success,901.4
sandboxed_0.75,1,Q_001,success,1703.8
sandboxed_0.75,2,Q_002,success,998.3
sandboxed_0.75,3,Q_003,success,1602.1
sandboxed_0.75,4,Q_004,success,498.0
sandboxed_0.75,5,Q_005,success,1400.3
sandboxed_0.75,6,Q_006,success,1696.9
sandboxed_0.75,7,Q_007,success,400.3
sandboxed_0.75,8,Q_008,success,2300.8
sandboxed_0.75,9,Q_009,success,998.6
sandboxed_0.75,10,Q_010,success,303.3
sandboxed_0.75,11,Q_011,success,796.4
sandboxed_0.75,12,Q_012,success,2900.3
sandboxed_0.75,13,Q_013,success,700.7
sandboxed_0.75,14,Q_014,success,1101.4
sandboxed_0.75,15,Q_015,success,1098.3
sandboxed_0.75,16,Q_016,success,1797.3
sandboxed_0.75,17,Q_017,success,1004.6
sandboxed_0.75,18,Q_018,success,1494.5
sandboxed_0.75,19,Q_019,success,703.5
sandboxed_0.75,20,Q_020,success,1796.5
unsandboxed_0.75,1,Q_001,success,798.5
unsandboxed_0.75,2,Q_002,success,401.7
unsandboxed_0.75,3,Q_003,success,698.1
unsandboxed_0.75,4,Q_004,success,400.4
unsandboxed_0.75,5,Q_005,success,999.4
unsandboxed_0.75,6,Q_006,success,298.9
unsandboxed_0.75,7,Q_007,success,201.3
unsandboxed_0.75,8,Q_008,success,498.9
unsandboxed_0.75,9,Q_009,success,300.3
unsandboxed_0.75,10,Q_010,success,499.5
unsandboxed_0.75,11,Q_011,success,600.5
unsandboxed_0.75,12,Q_012,success,499.1
unsandboxed_0.75,13,Q_013,success,400.3
unsandboxed_0.75,14,Q_014,success,400.1
unsandboxed_0.75,15,Q_015,success,397.8
unsandboxed_0.75,16,Q_016,success,399.8
unsandboxed_0.75,17,Q_017,success,600.5
unsandboxed_0.75,18,Q_018,success,498.9
unsandboxed_0.75,19,Q_019,success,601.6
unsandboxed_0.75,20,Q_020,success,498.0
sandboxed_1.0,1,Q_001,success,294.9
sandboxed_1.0,2,Q_002,success,104.0
sandboxed_1.0,3,Q_003,success,295.8
sandboxed_1.0,4,Q_004,success,108.0
sandboxed_1.0,5,Q_005,success,295.8
sandboxed_1.0,6,Q_006,success,199.8
sandboxed_1.0,7,Q_007,success,300.3
sandboxed_1.0,8,Q_008,success,199.3
sandboxed_1.0,9,Q_009,success,103.8
sandboxed_1.0,10,Q_010,success,196.2
sandboxed_1.0,11,Q_011,success,199.1
sandboxed_1.0,12,Q_012,success,198.1
sandboxed_1.0,13,Q_013,success,199.7
sandboxed_1.0,14,Q_014,success,299.2
sandboxed_1.0,15,Q_015,success,201.4
sandboxed_1.0,16,Q_016,success,201.0
sandboxed_1.0,17,Q_017,success,399.3
sandboxed_1.0,18,Q_018,success,101.4
sandboxed_1.0,19,Q_019,success,296.4
sandboxed_1.0,20,Q_020,success,197.7
unsandboxed_1.0,1,Q_001,success,105.7
unsandboxed_1.0,2,Q_002,success,493.7
unsandboxed_1.0,3,Q_003,success,498.3
unsandboxed_1.0,4,Q_004,success,398.0
unsandboxed_1.0,5,Q_005,success,203.4
unsandboxed_1.0,6,Q_006,success,696.8
unsandboxed_1.0,7,Q_007,success,400.4
unsandboxed_1.0,8,Q_008,success,101.8
unsandboxed_1.0,9,Q_009,success,199.6
unsandboxed_1.0,10,Q_010,success,201.4
unsandboxed_1.0,11,Q_011,success,397.3
unsandboxed_1.0,12,Q_012,success,599.7
unsandboxed_1.0,13,Q_013,success,400.0
unsandboxed_1.0,14,Q_014,success,298.9
unsandboxed_1.0,15,Q_015,success,299.5
unsandboxed_1.0,16,Q_016,success,104.7
unsandboxed_1.0,17,Q_017,success,496.1
unsandboxed_1.0,18,Q_018,success,398.9
unsandboxed_1.0,19,Q_019,success,298.6
unsandboxed_1.0,20,Q_020,success,400.3
sandboxed_1.5,1,Q_001,success,99.6
sandboxed_1.5,2,Q_002,success,99.8
sandboxed_1.5,3,Q_003,success,101.0
sandboxed_1.5,4,Q_004,success,97.8
sandboxed_1.5,5,Q_005,success,101.1
sandboxed_1.5,6,Q_006,success,99.3
sandboxed_1.5,7,Q_007,success,99.9
sandboxed_1.5,8,Q_008,success,98.8
sandboxed_1.5,9,Q_009,success,99.0
sandboxed_1.5,10,Q_010,success,101.7
sandboxed_1.5,11,Q_011,success,191.8
sandboxed_1.5,12,Q_012,success,101.7
sandboxed_1.5,13,Q_013,success,103.6
sandboxed_1.5,14,Q_014,success,101.1
sandboxed_1.5,15,Q_015,success,100.1
sandboxed_1.5,16,Q_016,success,100.1
sandboxed_1.5,17,Q_017,success,195.8
sandboxed_1.5,18,Q_018,success,100.4
sandboxed_1.5,19,Q_019,success,103.2
sandboxed_1.5,20,Q_020,success,99.1
unsandboxed_1.5,1,Q_001,success,108.9
unsandboxed_1.5,2,Q_002,success,96.1
unsandboxed_1.5,3,Q_003,success,103.9
unsandboxed_1.5,4,Q_004,success,96.4
unsandboxed_1.5,5,Q_005,success,196.4
unsandboxed_1.5,6,Q_006,success,104.0
unsandboxed_1.5,7,Q_007,success,98.3
unsandboxed_1.5,8,Q_008,success,99.9
unsandboxed_1.5,9,Q_009,success,99.9
unsandboxed_1.5,10,Q_010,success,102.3
unsandboxed_1.5,11,Q_011,success,99.1
unsandboxed_1.5,12,Q_012,success,196.7
unsandboxed_1.5,13,Q_013,success,101.7
unsandboxed_1.5,14,Q_014,success,100.6
unsandboxed_1.5,15,Q_015,success,99.6
unsandboxed_1.5,16,Q_016,success,99.3
unsandboxed_1.5,17,Q_017,success,103.5
unsandboxed_1.5,18,Q_018,success,96.3
unsandboxed_1.5,19,Q_019,success,194.7
unsandboxed_1.5,20,Q_020,success,200.9
sandboxed_2.0,1,Q_001,success,96.6
sandboxed_2.0,2,Q_002,success,101.9
sandboxed_2.0,3,Q_003,success,104.5
sandboxed_2.0,4,Q_004,success,98.0
sandboxed_2.0,5,Q_005,success,99.8
sandboxed_2.0,6,Q_006,success,101.7
sandboxed_2.0,7,Q_007,success,96.2
sandboxed_2.0,8,Q_008,success,104.0
sandboxed_2.0,9,Q_009,success,95.7
sandboxed_2.0,10,Q_010,success,101.7
sandboxed_2.0,11,Q_011,success,98.4
sandboxed_2.0,12,Q_012,success,99.6
sandboxed_2.0,13,Q_013,success,101.6
sandboxed_2.0,14,Q_014,success,100.4
sandboxed_2.0,15,Q_015,success,98.4
sandboxed_2.0,16,Q_016,success,97.9
sandboxed_2.0,17,Q_017,success,97.8
sandboxed_2.0,18,Q_018,success,101.9
sandboxed_2.0,19,Q_019,success,102.2
sandboxed_2.0,20,Q_020,success,99.9
unsandboxed_2.0,1,Q_001,success,96.8
unsandboxed_2.0,2,Q_002,success,97.3
unsandboxed_2.0,3,Q_003,success,98.4
unsandboxed_2.0,4,Q_004,success,97.0
unsandboxed_2.0,5,Q_005,success,101.0
unsandboxed_2.0,6,Q_006,success,101.3
unsandboxed_2.0,7,Q_007,success,100.7
unsandboxed_2.0,8,Q_008,success,10.7
unsandboxed_2.0,9,Q_009,success,90.9
unsandboxed_2.0,10,Q_010,success,98.7
unsandboxed_2.0,11,Q_011,success,98.5
unsandboxed_2.0,12,Q_012,success,103.1
unsandboxed_2.0,13,Q_013,success,101.1
unsandboxed_2.0,14,Q_014,success,98.6
unsandboxed_2.0,15,Q_015,success,95.6
unsandboxed_2.0,16,Q_016,success,101.3
unsandboxed_2.0,17,Q_017,success,101.6
unsandboxed_2.0,18,Q_018,success,194.8
unsandboxed_2.0,19,Q_019,success,102.3
unsandboxed_2.0,20,Q_020,success,98.5
sandboxed_3.0,1,Q_001,success,58.2
sandboxed_3.0,2,Q_002,success,97.2
sandboxed_3.0,3,Q_003,success,15.6
sandboxed_3.0,4,Q_004,success,88.8
sandboxed_3.0,5,Q_005,success,98.2
sandboxed_3.0,6,Q_006,success,98.4
sandboxed_3.0,7,Q_007,success,93.5
sandboxed_3.0,8,Q_008,success,36.1
sandboxed_3.0,9,Q_009,success,69.4
sandboxed_3.0,10,Q_010,success,22.5
sandboxed_3.0,11,Q_011,success,80.2
sandboxed_3.0,12,Q_012,success,12.5
sandboxed_3.0,13,Q_013,success,88.9
sandboxed_3.0,14,Q_014,success,93.1
sandboxed_3.0,15,Q_015,success,32.7
sandboxed_3.0,16,Q_016,success,72.6
sandboxed_3.0,17,Q_017,success,13.9
sandboxed_3.0,18,Q_018,success,81.8
sandboxed_3.0,19,Q_019,success,12.7
sandboxed_3.0,20,Q_020,success,88.3
unsandboxed_3.0,1,Q_001,success,87.4
unsandboxed_3.0,2,Q_002,success,92.4
unsandboxed_3.0,3,Q_003,success,34.5
unsandboxed_3.0,4,Q_004,success,66.4
unsandboxed_3.0,5,Q_005,success,95.8
unsandboxed_3.0,6,Q_006,success,26.9
unsandboxed_3.0,7,Q_007,success,78.7
unsandboxed_3.0,8,Q_008,success,98.2
unsandboxed_3.0,9,Q_009,success,101.3
unsandboxed_3.0,10,Q_010,success,96.7
unsandboxed_3.0,11,Q_011,success,24.5
unsandboxed_3.0,12,Q_012,success,75.8
unsandboxed_3.0,13,Q_013,success,102.1
unsandboxed_3.0,14,Q_014,success,20.4
unsandboxed_3.0,15,Q_015,success,77.3
unsandboxed_3.0,16,Q_016,success,98.1
unsandboxed_3.0,17,Q_017,success,25.7
unsandboxed_3.0,18,Q_018,success,77.2
unsandboxed_3.0,19,Q_019,success,96.5
unsandboxed_3.0,20,Q_020,success,26.9
sandboxed_4.0,1,Q_001,success,24.0
sandboxed_4.0,2,Q_002,success,76.2
sandboxed_4.0,3,Q_003,success,31.1
sandboxed_4.0,4,Q_004,success,67.1
sandboxed_4.0,5,Q_005,success,27.3
sandboxed_4.0,6,Q_006,success,74.6
sandboxed_4.0,7,Q_007,success,32.9
sandboxed_4.0,8,Q_008,success,64.3
sandboxed_4.0,9,Q_009,success,26.8
sandboxed_4.0,10,Q_010,success,71.7
sandboxed_4.0,11,Q_011,success,13.9
sandboxed_4.0,12,Q_012,success,85.1
sandboxed_4.0,13,Q_013,success,30.3
sandboxed_4.0,14,Q_014,success,28.7
sandboxed_4.0,15,Q_015,success,46.1
sandboxed_4.0,16,Q_016,success,33.0
sandboxed_4.0,17,Q_017,success,63.9
sandboxed_4.0,18,Q_018,success,27.6
sandboxed_4.0,19,Q_019,success,71.6
sandboxed_4.0,20,Q_020,success,21.4
unsandboxed_4.0,1,Q_001,success,82.0
unsandboxed_4.0,2,Q_002,success,30.6
unsandboxed_4.0,3,Q_003,success,33.5
unsandboxed_4.0,4,Q_004,success,40.3
unsandboxed_4.0,5,Q_005,success,34.0
unsandboxed_4.0,6,Q_006,success,61.8
unsandboxed_4.0,7,Q_007,success,29.6
unsandboxed_4.0,8,Q_008,success,70.9
unsandboxed_4.0,9,Q_009,success,21.8
unsandboxed_4.0,10,Q_010,success,78.4
unsandboxed_4.0,11,Q_011,success,11.9
unsandboxed_4.0,12,Q_012,success,85.9
unsandboxed_4.0,13,Q_013,success,27.3
unsandboxed_4.0,14,Q_014,success,71.9
unsandboxed_4.0,15,Q_015,success,36.4
unsandboxed_4.0,16,Q_016,success,67.1
unsandboxed_4.0,17,Q_017,success,24.8
unsandboxed_4.0,18,Q_018,success,73.8
unsandboxed_4.0,19,Q_019,success,34.8
unsandboxed_4.0,20,Q_020,success,67.1
sandboxed_6.0,1,Q_001,success,30.6
sandboxed_6.0,2,Q_002,success,24.7
sandboxed_6.0,3,Q_003,success,14.9
sandboxed_6.0,4,Q_004,success,23.0
sandboxed_6.0,5,Q_005,success,58.1
sandboxed_6.0,6,Q_006,success,14.0
sandboxed_6.0,7,Q_007,success,17.9
sandboxed_6.0,8,Q_008,success,70.9
sandboxed_6.0,9,Q_009,success,13.6
sandboxed_6.0,10,Q_010,success,25.6
sandboxed_6.0,11,Q_011,success,60.7
sandboxed_6.0,12,Q_012,success,31.4
sandboxed_6.0,13,Q_013,success,32.5
sandboxed_6.0,14,Q_014,success,31.3
sandboxed_6.0,15,Q_015,success,27.0
sandboxed_6.0,16,Q_016,success,32.5
sandboxed_6.0,17,Q_017,success,30.5
sandboxed_6.0,18,Q_018,success,30.0
sandboxed_6.0,19,Q_019,success,34.6
sandboxed_6.0,20,Q_020,success,29.4
unsandboxed_6.0,1,Q_001,success,31.9
unsandboxed_6.0,2,Q_002,success,29.6
unsandboxed_6.0,3,Q_003,success,30.6
unsandboxed_6.0,4,Q_004,success,33.4
unsandboxed_6.0,5,Q_005,success,28.5
unsandboxed_6.0,6,Q_006,success,30.2
unsandboxed_6.0,7,Q_007,success,30.5
unsandboxed_6.0,8,Q_008,success,15.7
unsandboxed_6.0,9,Q_009,success,30.8
unsandboxed_6.0,10,Q_010,success,29.8
unsandboxed_6.0,11,Q_011,success,31.3
unsandboxed_6.0,12,Q_012,success,31.7
unsandboxed_6.0,13,Q_013,success,31.8
unsandboxed_6.0,14,Q_014,success,12.4
unsandboxed_6.0,15,Q_015,success,33.9
unsandboxed_6.0,16,Q_016,success,13.2
unsandboxed_6.0,17,Q_017,success,32.6
unsandboxed_6.0,18,Q_018,success,31.7
unsandboxed_6.0,19,Q_019,success,31.5
unsandboxed_6.0,20,Q_020,success,12.8
